workclass,education,marital-status,occupation,relationship,race,gender,native-country,income
 Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, Other-relative, White, Male, United-States, <=50K
 Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private, Some-college, Never-married, Tech-support, Own-child, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
 Self-emp-inc, Bachelors, Divorced, Sales, Not-in-family, White, Male, United-States, >50K
 Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 Local-gov, Some-college, Widowed, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 Self-emp-inc, Some-college, Divorced, Sales, Own-child, White, Male, United-States, >50K
 Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, Black, Male, United-States, <=50K
 Local-gov, Bachelors, Never-married, Exec-managerial, Own-child, White, Male, United-States, <=50K
 Local-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
 Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Federal-gov, HS-grad, Divorced, Craft-repair, Unmarried, White, Male, United-States, <=50K
 Private, 10th, Widowed, Other-service, Not-in-family, Black, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Private, Assoc-voc, Widowed, Craft-repair, Not-in-family, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 State-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
 Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Private, 9th, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
 Private, 10th, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male, Vietnam, <=50K
 Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
 Private, Bachelors, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
 Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private, 5th-6th, Separated, Adm-clerical, Other-relative, White, Male, El-Salvador, <=50K
 Private, Assoc-voc, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
 ?, 10th, Married-civ-spouse, ?, Wife, White, Female, Cuba, <=50K
 Federal-gov, Bachelors, Divorced, Tech-support, Not-in-family, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, >50K
 Private, 11th, Married-civ-spouse, Other-service, Husband, Black, Male, United-States, >50K
 Federal-gov, HS-grad, Never-married, Adm-clerical, Other-relative, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, ?, <=50K
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, Own-child, Black, Male, United-States, <=50K
 Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Self-emp-not-inc, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Other-service, Wife, White, Female, England, >50K
 Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Male, United-States, <=50K
 Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, >50K
 State-gov, HS-grad, Separated, Adm-clerical, Unmarried, Black, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
 Local-gov, Masters, Never-married, Prof-specialty, Own-child, Black, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Federal-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male, El-Salvador, <=50K
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male, ?, <=50K
 Private, Bachelors, Never-married, Sales, Own-child, White, Male, United-States, >50K
 Private, HS-grad, Separated, Handlers-cleaners, Not-in-family, White, Female, United-States, <=50K
 Federal-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, Not-in-family, White, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female, Ireland, <=50K
 Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, ?, >50K
 Private, 7th-8th, Separated, Farming-fishing, Not-in-family, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Farming-fishing, Own-child, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, Other-relative, Black, Female, United-States, <=50K
 State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
 Self-emp-not-inc, 10th, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
 Private, 5th-6th, Separated, Machine-op-inspct, Not-in-family, White, Female, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, Cuba, <=50K
 Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 ?, 1st-4th, Married-civ-spouse, ?, Husband, Black, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male, Japan, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
 Private, 11th, Never-married, Other-service, Not-in-family, White, Male, United-States, <=50K
 Private, 9th, Never-married, Handlers-cleaners, Own-child, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Sales, Own-child, Asian-Pac-Islander, Male, Philippines, <=50K
 State-gov, HS-grad, Divorced, Other-service, Not-in-family, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, Unmarried, Black, Female, United-States, <=50K
 Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, >50K
 Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Male, United-States, <=50K
 Private, Assoc-acdm, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
 Private, Masters, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, >50K
 ?, Bachelors, Married-civ-spouse, ?, Wife, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Priv-house-serv, Wife, White, Female, United-States, <=50K
 State-gov, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
 Private, Some-college, Widowed, Other-service, Not-in-family, White, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Transport-moving, Not-in-family, White, Male, United-States, <=50K
 Private, 7th-8th, Married-civ-spouse, Other-service, Other-relative, Asian-Pac-Islander, Female, ?, <=50K
 Private, 10th, Divorced, Craft-repair, Unmarried, White, Male, United-States, <=50K
 Federal-gov, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, >50K
 Private, 10th, Never-married, Machine-op-inspct, Unmarried, Black, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
 Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
 Private, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female, Germany, >50K
 Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Other-relative, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
 State-gov, Bachelors, Never-married, Protective-serv, Not-in-family, Black, Male, United-States, <=50K
 Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male, Columbia, <=50K
 Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, >50K
 Private, Bachelors, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male, Mexico, <=50K
 Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Never-married, Other-service, Not-in-family, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Sales, Own-child, White, Female, ?, <=50K
 ?, Masters, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, Philippines, <=50K
 Private, Assoc-acdm, Divorced, Sales, Unmarried, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
 Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, Mexico, >50K
 Private, Assoc-voc, Divorced, Prof-specialty, Unmarried, White, Female, United-States, <=50K
 State-gov, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Sales, Wife, Black, Female, Puerto-Rico, <=50K
 Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 State-gov, Bachelors, Never-married, Prof-specialty, Other-relative, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
 Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Unmarried, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, Not-in-family, White, Female, United-States, <=50K
 ?, Bachelors, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
 Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
 Private, 12th, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Private, Assoc-voc, Married-civ-spouse, Tech-support, Wife, White, Female, United-States, >50K
 Private, HS-grad, Divorced, Machine-op-inspct, Own-child, White, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 Self-emp-not-inc, Some-college, Divorced, Other-service, Not-in-family, White, Male, United-States, <=50K
 Private, 9th, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, Portugal, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, HS-grad, Never-married, Sales, Unmarried, Black, Female, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
 Private, 1st-4th, Married-civ-spouse, Other-service, Husband, Black, Male, Puerto-Rico, <=50K
 Local-gov, Masters, Divorced, Prof-specialty, Unmarried, White, Female, United-States, <=50K
 Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, Taiwan, >50K
 Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Machine-op-inspct, Not-in-family, Black, Male, United-States, <=50K
 ?, HS-grad, Widowed, ?, Not-in-family, White, Female, United-States, <=50K
 Private, Masters, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, >50K
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female, Hungary, >50K
 Private, 9th, Separated, Machine-op-inspct, Unmarried, White, Female, Mexico, <=50K
 Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, >50K
 Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Local-gov, Some-college, Never-married, Prof-specialty, Other-relative, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female, United-States, <=50K
 ?, 11th, Never-married, ?, Own-child, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male, United-States, <=50K
 State-gov, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
 Private, HS-grad, Never-married, Sales, Own-child, Black, Male, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female, Canada, <=50K
 Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
 Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 Self-emp-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male, United-States, <=50K
 Private, 11th, Divorced, Transport-moving, Not-in-family, White, Male, United-States, <=50K
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
 Local-gov, Some-college, Separated, Protective-serv, Not-in-family, White, Male, United-States, >50K
 Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
 ?, Assoc-voc, Never-married, ?, Not-in-family, White, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female, United-States, <=50K
 Private, Assoc-acdm, Married-civ-spouse, Sales, Wife, White, Female, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 ?, HS-grad, Never-married, ?, Unmarried, Black, Male, United-States, <=50K
 Private, 11th, Married-spouse-absent, Handlers-cleaners, Not-in-family, White, Male, Mexico, <=50K
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
 Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Transport-moving, Unmarried, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
 Private, 9th, Never-married, Other-service, Unmarried, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
 Private, Masters, Never-married, Sales, Not-in-family, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
 ?, HS-grad, Widowed, ?, Other-relative, White, Female, United-States, <=50K
 ?, 11th, Married-civ-spouse, ?, Wife, Asian-Pac-Islander, Female, Laos, <=50K
 Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, United-States, >50K
 Private, 11th, Never-married, Other-service, Not-in-family, Black, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Other-relative, White, Female, United-States, <=50K
 State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Female, United-States, <=50K
 Private, Some-college, Widowed, Adm-clerical, Other-relative, White, Female, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
 Private, Doctorate, Divorced, Exec-managerial, Not-in-family, White, Female, United-States, >50K
 Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Federal-gov, Assoc-acdm, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
 Private, Masters, Never-married, Exec-managerial, Not-in-family, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
 Local-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, Bachelors, Widowed, Exec-managerial, Not-in-family, White, Male, United-States, >50K
 Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Own-child, Black, Female, United-States, <=50K
 Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, 10th, Never-married, Machine-op-inspct, Unmarried, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
 Private, Some-college, Widowed, Sales, Unmarried, Black, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
 Private, Masters, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 Private, 5th-6th, Never-married, Machine-op-inspct, Not-in-family, White, Male, Mexico, <=50K
 Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, 11th, Never-married, Sales, Own-child, White, Female, United-States, <=50K
 Self-emp-not-inc, Masters, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
 Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private, 9th, Never-married, Farming-fishing, Own-child, White, Male, United-States, <=50K
 Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 ?, 10th, Never-married, ?, Own-child, White, Female, United-States, <=50K
 State-gov, HS-grad, Never-married, Craft-repair, Unmarried, White, Male, United-States, <=50K
 Self-emp-not-inc, Bachelors, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Female, United-States, <=50K
 Federal-gov, HS-grad, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
 Private, HS-grad, Widowed, Transport-moving, Unmarried, White, Male, United-States, <=50K
 Private, 11th, Separated, Machine-op-inspct, Not-in-family, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female, Jamaica, <=50K
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 Federal-gov, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, Bachelors, Widowed, Tech-support, Unmarried, White, Female, United-States, <=50K
 Private, 5th-6th, Married-civ-spouse, Other-service, Other-relative, White, Male, United-States, <=50K
 Private, Assoc-voc, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
 Private, Bachelors, Married-AF-spouse, Prof-specialty, Wife, White, Female, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
 Self-emp-not-inc, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
 Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
 Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 Local-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
 Private, 11th, Never-married, Sales, Own-child, White, Female, United-States, <=50K
 Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
 Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, Some-college, Widowed, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Unmarried, White, Male, United-States, <=50K
 Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Canada, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
 Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, Bachelors, Widowed, Farming-fishing, Own-child, Asian-Pac-Islander, Male, United-States, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female, United-States, <=50K
 Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, England, >50K
 Private, Bachelors, Never-married, Sales, Not-in-family, White, Male, United-States, >50K
 Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Local-gov, Masters, Widowed, Exec-managerial, Unmarried, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, Germany, <=50K
 Private, 11th, Divorced, Transport-moving, Own-child, White, Male, United-States, <=50K
 Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 State-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Transport-moving, Unmarried, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male, United-States, <=50K
 Local-gov, HS-grad, Separated, Adm-clerical, Unmarried, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Male, Vietnam, <=50K
